rank,Team,wdt_ID,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
11,KRÜ,303,Klaus,Razer Viper V2 Pro,"1,000",800,0.500,400,1.000,BenQ XL2546K,240,RTX 2070,1920x1080,VAXEE PA Black,Razer Huntsman TE,Logitech G Pro X Wireless Headset
9,Leviatan,304,Mazino,Logitech G703,"1,000","1,600",0.220,352,1.000,BenQ XL2546K,240,RTX 3080,1600x1024,Artisan Zero,Razer Huntsman TE,HyperX Cloud Flight
11,KRÜ,305,NagZet,Zowie EC2-B,"1,000",400,0.750,300,1.000,BenQ XL2546K,240,GTX 1060,1920x1080,VAXEE PA FunSpark,Logitech G Pro X Mechanical Keyboard,
999,FA,306,delz1k,Logitech G Pro X Superlight,"1,000",400,0.720,288,1.000,BenQ XL2546K,240,GTX 1660,1280x960,VAXEE PA Black,HyperX Alloy FPS Pro,HyperX Cloud Flight
9,Leviatan,307,keznit,Logitech G703,"1,000",800,0.346,276,1.000,BenQ XL2546K,240,GTX 1660,1680x1050,Zowie G-SR,Skyloong KS61,HyperX Cloud II Wireless
32,Full Sense,308,Johnolsen,FinalMouse Ultralight 2,"1,000",400,0.565,226,1.000,Alienware AW2521H,240,RTX 3070,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro,HyperX Cloud II
32,Full Sense,309,Lammysnax,SteelSeries Prime,"1,000",800,0.310,248,1.000,BenQ XL2546,240,RTX 3070,1920x1080,SteelSeries QcK Heavy,Logitech G913 TKL,HyperX Cloud II
32,Full Sense,310,SuperBuss,Logitech G Pro X Superlight,"1,000",800,0.380,304,1.000,BenQ XL2546,240,RTX 3070,1920x1080,Artisan FX Zero Soft,Ducky One 2 SF,Sennheiser GAME ZERO
32,Full Sense,311,Chalalala,Zowie FK1,"1,000",400,0.600,240,1.000,BenQ XL2546,240,RTX 3070,1920x1080,Artisan FX Zero Soft,Razer BlackWidow Chroma V2,HyperX Cloud Alpha
"1,000",Streamer,312,Kyedae,FinalMouse Starlight 12,"1,000",800,0.400,320,1.000,BenQ XL2540,240,RTX 3090,1920x1080,HyperX FURY S Pro,Custom Keyboard,Xtrfy H2
37,Cloud9 Blue,313,Xeppaa,Zowie EC2-C,"1,000",800,0.350,280,1.000,BenQ XL2546K,240,RTX 3080,1280x960,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud II
55,Giants,314,hoody,Logitech G403 HERO,"1,000",400,0.628,251,1.000,BenQ XL2546K,240,,1920x1080,Logitech G640,,Logitech G Pro X Headset
999,FA,315,Leviathan,Logitech G Pro X Superlight,"1,000",800,0.300,240,1.000,BenQ XL2740,240,RTX 3090,1920x1080,Artisan Hien FX Mid XL Black,Anne PRO 2,Logitech G Pro X Headset
45,TSM (B),316,Rossy,Logitech G Pro X Superlight,"1,000","1,600",0.225,360,1.000,ASUS TUF VG279QM,240,RTX 3070,1280x1024,Logitech G640,Logitech G915 TKL,Logitech G Pro X Wireless Headset
21,NIP (C) (B),317,JhoW,Logitech G Pro Wireless,"1,000",400,0.630,252,,Alienware AW2518HF,240,GTX 1070 Ti,,GFallen Pantera,HyperX Alloy Origins,SteelSeries Arctis 5
21,NIP (B),318,v1xen,Logitech G Pro X Superlight,"1,000",800,0.450,360,1.000,Alienware AW2518HF,240,GTX 1070,1280x960,AORUS AMP 500,CoolerMaster CK550,HyperX Cloud Alpha
26,Keyd,319,murizzzzz,Logitech G Pro X Superlight,"1,000",800,0.466,372,0.960,Alienware AW2518HF,240,RTX 2070 Super,1280x960,HyperX FURY S Pro,Anne Pro 2,Logitech G Pro X Wireless Headset
82,FURIA,320,Khalil,Logitech G Pro X Superlight,"1,000",800,0.500,400,1.000,BenQ XL2546,240,RTX 2070 Super,1920x1080,Razer Gigantus V2,HyperX Alloy FPS Pro,HyperX Cloud II
82,FURIA,321,mazin,Xtrfy M4 Wireless,"1,000",800,0.350,280,1.000,AOC AGON AG241QG,240,GTX 1060,1920x1080,VAXEE PA Winter 21,HyperX Alloy Origins,HyperX Cloud II
999,FA,322,BraveAF,Endgame Gear XM1r,"1,000",400,0.785,314,1.000,BenQ XL2546K,240,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,Logitech G Pro X Headset
46,Version 1 (B),323,Zander,Logitech G Pro X Superlight,"1,000",800,0.275,220,0.950,BenQ XL2546,240,RTX 2070 Super,1920x1080,Zowie G-SR-SE Rouge,Xtrfy K4 TKL,HyperX Cloud II Wireless
38,100T,324,Cryocells,Logitech G Pro X Superlight White,"1,000",800,0.300,240,1.000,BenQ XL2546,240,RTX 3070,1920x1080,SWIPE SP-FROST,Ducky One 2 Mini RGB,HyperX Cloud II
4,DRX,325,Zest,Razer DeathAdder V3 Pro,"1,000",400,0.560,224,1.000,BenQ XL2546K,240,,1280x960,Zowie G-SR,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
24,Global Esports,326,Ayrin,,"1,000",800,0.300,240,1.000,,,,1920x1080,,,
43,Sentinels,327,dephh,Razer Viper 8KHz,"1,000",800,0.214,171,1.000,BenQ XL2411T,144,,1024x768,Razer Gigantus V2,HyperX Alloy FPS,
43,Sentinels,328,Zekken,Logitech G Pro X Superlight,"1,000",800,0.175,140,1.000,BenQ XL2546,240,RTX 3070 Ti,1920x1080,Gamesense Radar XL,Custom Keyboard,
22,The Guard (B),329,neT,Razer DeathAdder V3 Pro,"1,000",400,0.440,176,1.000,BenQ XL2546,240,RTX 3070,1920x1080,Logitech G640,Anne Pro 2,HyperX Cloud II
22,The Guard (B),330,Valyn,Logitech G Pro X Superlight,"1,000","1,600",0.150,240,1.000,BenQ XL2546,240,RTX 2070,1920x1080,Logitech G640,Razer Huntsman TE,HyperX Cloud II
22,The Guard (B),331,JonahP,Razer Viper Ultimate,"1,000",400,0.500,200,1.000,BenQ XL2546,240,RTX 3090,1920x1080,Gamesense Radar,Ducky One 2 TKL White,Sennheiser GAME ZERO
22,The Guard,332,trent,Razer Viper Mini,"1,000","1,600",0.150,240,1.009,BenQ XL2546,240,,1280x960,Zowie G-SR-SE Rouge,Redragon K522 TKL White,HyperX Cloud II
115,Maru Gaming,333,Jeong Hi,Logitech G Pro X Superlight,"1,000",800,0.395,316,1.000,,,,,SteelSeries QcK Heavy,Corsair K65,Sennheiser GSP 600
117,World Game Star,334,iRdy,Zowie EC2,"1,000",400,0.480,192,1.000,,,,1920x1080,,Logitech G Pro X Mechanical Keyboard,Astro A50
117,World Game Star,335,HANN,Logitech G Pro X Superlight Magenta,"1,000",400,0.630,252,1.000,,,,1920x1080,VAXEE PA,Logitech G Pro X Mechanical Keyboard,Astro A50
117,World Game Star,336,Sylvan,Logitech G Pro X Superlight,"1,000",800,0.285,228,1.000,,,,1920x1080,Logitech G840,Logitech G Pro X Mechanical Keyboard,Astro A50
117,World Game Star,337,Luke,Logitech G Pro X Superlight,"1,000",400,0.500,200,1.000,,,,1920x1080,SteelSeries QcK+,Logitech G Pro X Mechanical Keyboard,Astro A50
117,World Game Star,338,GODLIKE,Logitech G Pro X Superlight,"1,000",400,0.690,276,1.000,,,,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Astro A50
117,World Game Star,339,Clark,Logitech G Pro X Superlight,"1,000",800,0.275,220,1.000,,,,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Astro A50
10,NORTHEPTION,340,JoxJo,VAXEE OUTSET AX,"1,000",800,0.285,228,1.000,BenQ XL2546,240,,,VAXEE PA,Corsair K70 RGB MK.2,
2,Paper Rex,341,Jinggg,G-Wolves Hati S,"1,000","1,600",0.188,300,1.000,BenQ XL2546K,240,RTX 2080 Ti,1440x1080,Artisan FX Zero Soft,HyperX Alloy Origins Core,Logitech G Pro X Headset
8,Zeta Division,342,Dep,Logitech G Pro X Superlight,"1,000",400,0.900,360,1.000,BenQ XL2546K,240,,1680x1050,Zowie G-SR-SE Rouge,Corsair K100 RGB,Logitech G Pro X Headset
8,Zeta Division (B),343,TENNN,Logitech G Pro X Superlight,"1,000",800,0.280,224,1.000,BenQ XL2546K,240,,1280x960,VAXEE PA ZYGEN,Logitech G512,Logitech G Pro X Headset
8,Zeta Division,344,SugarZ3ro,Logitech G Pro X Superlight,"1,000",400,0.428,171,1.000,BenQ XL2546K,240,,1280x960,Zowie G-SR-SE,Logitech G915 TKL,Logitech G Pro X Headset
2,Paper Rex,345,Benkai,Pulsar X2,"1,000",800,0.250,200,0.700,BenQ XL2546K,240,RTX 2070 Super,1280x960,Artisan Hien FX Soft,Ducky One 2 Mini RGB,EPOS H6PRO White
2,Paper Rex,346,mindfreak,VAXEE XE White,"1,000",400,0.500,200,0.900,BenQ XL2546K,240,,1920x1080,VAXEE PA Summer22,HyperX Alloy Origins Core,
38,100T (M),347,Nadeshot,Logitech G Pro X Superlight Black,"1,000",800,0.200,160,1.000,BenQ XL2540,240,,1920x1080,SteelSeries QcK+,HiGround Sandstone,JBL Quantum ONE
6,LOUD,348,aspas,Logitech G403,"1,000",800,0.400,320,1.000,ASUS VG259QM,240,RX 580,1920x1080,VAXEE PA ZYGEN,Logitech G915 TKL,HyperX Cloud II
6,LOUD,349,Less,Logitech G Pro X Superlight,"1,000",800,0.320,256,1.000,BenQ XL2546K,240,GTX 1050 Ti,,VAXEE PA FunSpark,HyperX Alloy FPS RGB,HyperX Cloud II
12,Xerxia,350,Surf,Logitech G Pro X Superlight Magenta,"1,000",800,0.375,300,1.000,BenQ XL2546K,240,RTX 3070,1920x1080,Artisan Hayate Otsu,HyperX Alloy FPS,Beyerdynamic MMX300
80,Alliance,351,SEIDER,Razer Viper V2 Pro,"1,000","1,600",0.150,240,1.000,,,,1280x960,Razer Gigantus V2,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
999,FA,352,Kanpeki,Razer Viper V2 Pro,"1,000",800,0.320,256,1.000,BenQ XL2546 Divina Pink Edition,240,GTX 1080 Ti,1920x1080,Artisan FX Zero Soft,Custom Keyboard,Razer BlackShark V2 Pro
5,Fnatic,353,Alfajer,Razer DeathAdder V3 Pro,"1,000",400,0.450,180,1.000,Alienware AW2521H,360,RTX 2060 Super,1920x1080,Zowie G-SR-SE Rouge,HyperX Alloy Origins Core,
"1,000",Streamer,354,benjyfishy,Razer Viper V2 Pro,"1,000",800,0.283,226,1.000,OMEN X25f,360,RTX 3090,1280x960,Gamesense Radar XL,SteelSeries Apex Pro TKL,Turtle Beach Atlas Aero
"1,000",Streamer,355,ErycTriceps,Logitech G303 Shroud Edition,"1,000",400,0.314,125,1.000,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Artisan Ninja FX,SteelSeries Apex Pro TKL,Sennheiser HD 660 S
"1,000",Streamer,357,Recrent,Logitech G Pro X Superlight Black,"1,000",800,0.300,240,1.000,Alienware AW2721D,240,RTX 3090,1920x1080,Artisan Hien FX Soft,Razer Huntsman V2 TKL,
57,MOUZ,358,RECIDENT,FinalMouse Starlight 12,,,,,,BenQ XL2546K,240,,,Razer Gigantus,Razer Huntsman TE,Razer BlackShark V2
57,MOUZ,359,memset,Logitech G Pro X Superlight,"1,000",400,0.370,148,,BenQ XL2546K,240,,1920x1080,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
57,MOUZ,360,Luzuh,Logitech G Pro X Superlight,"1,000",400,0.541,216,1.000,BenQ XL2540,240,,1280x960,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
9,Leviatan,361,Tacolilla,Logitech G Pro X Superlight Black,"1,000",800,0.200,160,1.000,BenQ XL2546K,240,RTX 3070,1680x1050,Razer Gigantus V2,Varmilo VA87M Beijing Opera,Logitech G Pro X Headset
33,NRG Esports (B),362,eeiu,,,,,,,BenQ XL2546,240,,,Artisan Hayate Otsu,,
5,Fnatic,363,Leo,Razer DeathAdder V2 Pro,"1,000",400,0.410,164,1.000,,,,1280x1024,HyperX FURY S Pro,,
7,Guild (B),364,Russ,Logitech G Pro X Superlight,"1,000",800,0.380,304,1.000,BenQ XL2546K,240,RTX 3070 Ti,1600x900,Xraypad Aqua Control+,HyperX Alloy Origins 60,HyperX Cloud II
7,Guild (B),365,trexx,G-Wolves Hati Black,"1,000",800,0.226,180,1.000,BenQ XL2546K,240,,1920x1080,Esports Tiger LongTeng SE,Anne Pro 2,HyperX Cloud Alpha S
38,100T (C),366,seangares,HyperX Pulsefire Haste,"1,000",800,0.315,252,1.000,BenQ XL2546,240,RTX 2080 Ti,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud Alpha
999,FA,367,adverso,Logitech G Pro X Superlight White,"1,000",400,0.500,200,1.000,,,GTX 1060,1920x1080,Xraypad Aqua Control+,Varmilo VA87M Summit,HyperX Cloud II Wireless
9,Leviatan,368,kiNgg,Logitech G Pro X Superlight,"1,000",800,0.270,216,1.000,ASUS TUF VG258QM,240,GTX 1070,1920x1080,Lethal Gaming Gear Saturn,Varmilo VA87M Beijing Opera,HyperX Cloud II
11,KRÜ,369,Melser,Logitech G Pro X Superlight Magenta,"1,000",400,0.600,240,1.000,Alienware AW2521H,240,RTX 2070 Super,1920x1080,Lethal Gaming Gear Saturn,Ducky One 2 RGB,
9,Leviatan,370,Shyy,Logitech G Pro X Superlight,"1,000",800,0.320,256,1.000,,,GTX 1660,1280x1024,Razer Gigantus V2,Razer Huntsman V2 TKL,
99,Team RA'AD,371,phaze,Logitech G Pro X Superlight,"1,000",400,0.700,280,1.100,BenQ XL2546K,240,,1280x960,Zowie G-SR-SE,Razer Huntsman V2 TKL,HyperX Cloud Alpha
87,Rebels Gaming,372,JannyXD,Razer Viper V2 Pro,"1,000",400,0.520,208,1.000,BenQ XL2546K,240,RTX 3060,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2 Pro
87,Rebels Gaming,373,GatsH,Razer Viper Ultimate,"1,000",400,0.400,160,1.000,BenQ XL2546K,240,RTX 3060,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2
87,Rebels Gaming,374,vo0kashu,Razer Viper V2 Pro,"1,000",800,0.211,168,1.000,BenQ XL2546K,240,RTX 3060,1280x960,Razer Gigantus V2,Razer Huntsman Mini,
38,100T,375,derrek,Logitech G Pro X Superlight,"1,000",800,0.375,300,1.000,BenQ XL2546K,240,GTX 1080 Ti,1920x1080,Gamesense Radar XL,Glorious GMMK Pro,HyperX Cloud II
999,FA,376,Will,Logitech G Pro X Superlight,"1,000",800,0.400,320,1.000,BenQ XL2546K,240,RTX 3080,1920x1080,Artisan Zero,Ducky One 2 TKL White,EPOS H6PRO White
61,SCARZ,377,Xdll,Logitech G Pro X Superlight,"1,000",800,0.285,228,1.000,BenQ XL2546K,,,1920x1080,SteelSeries QcK Edge,,
23,Edward Gaming,378,ZmjjKK,VAXEE ZYGEN NP-01S Pink,"1,000",800,0.280,,,BenQ XL2546K,240,,1920x1080,Artisan Hien FX Soft,,
82,FURIA,379,dgzin,Logitech G Pro X Superlight Magenta,"1,000",400,0.260,104,1.000,BenQ XL2546K,240,RTX 2070 Super,1280x1080,Artisan Zero,HyperX Alloy Origins Core,
125,Liquid (S),380,frttt,Zowie EC2,"1,000","1,600",0.755,"1,208",1.000,BenQ XL2546K,240,RTX 3080 Ti,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud II
"1,000",Streamer,381,iiTzTimmy,Logitech G Pro X Superlight,"1,000","1,800",0.190,342,1.000,BenQ XL2740,240,RTX 3080 Ti,1920x1080,Logitech G840 SE,Wooting 60 HE,Logitech G Pro X Wireless Headset SE
999,FA,382,governor,FinalMouse Starlight Pro,"1,000","1,200",0.450,540,1.000,BenQ XL2740,240,RTX 3070 Ti,1920x1080,SteelSeries QcK+,Ducky One 3 Mini,Beyerdynamic DT 990 Pro
28,Karmine Corp,383,xms,Razer DeathAdder V3 Pro,"1,000",800,0.450,360,1.000,BenQ XL2540,240,RTX 3080,1920x1080,Zowie G-SR,Ducky One 2 RGB,HyperX Cloud II
118,Team BDS,384,logaN,Zowie FK1,"1,000",400,0.534,213,1.000,BenQ XL2411T,144,,,Zowie G-SR,SteelSeries Apex M500,HyperX Cloud II
11,KRÜ,385,xand,Logitech G Pro X Superlight,"1,000",800,0.510,408,0.950,BenQ XL2546K,240,RTX 2070 Super,1920x1080,VAXEE PA ZYGEN,Logitech G915 TKL,HyperX Cloud Alpha
119,Angry Titans,386,ngiN,Razer DeathAdder V3 Pro,"1,000",800,0.244,195,1.000,BenQ XL2540,240,,1920x1080,VAXEE PA,Razer BlackWidow V3 Pro,HyperX Cloud II
121,Fokus Clan,387,JUGi,Logitech G403 Wireless,"1,000",700,0.251,175,1.000,BenQ XL2546,240,,,Zowie G-SR,SteelSeries Apex M500,Sennheiser GAME ZERO
47,Heretics (S),389,SirMaza,Logitech G Pro X Superlight,"1,000",400,0.500,200,1.000,ASUS VG259QM,240,RTX 3080,1920x1080,ZOWIE GTF-X,HyperX Alloy FPS Pro,Beyerdynamic DT 880 Edition
12,Talon,390,Patiphan,Glorious Model O Matte Black,"1,000",800,0.265,212,0.950,BenQ XL2546,240,GTX 1080,1920x1080,Gamesense Radar XL,Custom Keyboard,Sennheiser GAME ZERO
rank,Team,wdt_ID,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
